epoch,step,trainLoss
49,49,0.6463623642921448
99,99,0.0254824161529541
149,149,0.021172529086470604
199,199,0.02689051255583763
249,249,0.027597349137067795
299,299,0.020469436421990395
349,349,0.020681772381067276
399,399,0.02710750140249729
449,449,0.02021726965904236
499,499,0.020343367010354996
549,549,0.022881165146827698
599,599,0.019299479201436043
649,649,0.020101599395275116
699,699,0.021588433533906937
749,749,0.019486188888549805
799,799,0.01968301087617874
849,849,0.023446902632713318
899,899,0.01918216608464718
